timestamp_utc,profile,container,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
2026-08-02T23:58:11Z,R2,seev-k0-admin-bff-service-1,7.71%,12.61MiB,128MiB,9.85%,3.92kB / 2.12kB,737kB / 0B,10
2026-08-02T23:58:11Z,R2,seev-k0-assurance-service-1,9.78%,8.934MiB,128MiB,6.98%,19.8kB / 25.8kB,901kB / 0B,13
2026-08-02T23:58:11Z,R2,seev-k0-auth-service-1,1.28%,10.52MiB,5.786GiB,0.18%,64.1kB / 112kB,893kB / 0B,13
2026-08-02T23:58:11Z,R2,seev-k0-fraud-service-1,0.05%,11.67MiB,5.786GiB,0.20%,20.3kB / 16.2kB,2.28MB / 0B,13
2026-08-02T23:58:11Z,R2,seev-k0-gateway-service-1,9.68%,8.594MiB,5.786GiB,0.15%,42.7kB / 57.6kB,737kB / 0B,13
2026-08-02T23:58:11Z,R2,seev-k0-ledger-service-1,0.70%,10.9MiB,5.786GiB,0.18%,96.9kB / 156kB,1.2MB / 0B,13
2026-08-02T23:58:11Z,R2,seev-k0-payin-service-1,8.67%,11.58MiB,5.786GiB,0.20%,44.8kB / 50.5kB,836kB / 0B,13
2026-08-02T23:58:11Z,R2,seev-k0-payout-service-1,7.95%,11.75MiB,5.786GiB,0.20%,57kB / 109kB,332kB / 0B,13
2026-08-02T23:58:11Z,R2,seev-k0-postgres-1,1.69%,104.5MiB,5.786GiB,1.76%,582kB / 291kB,43.2MB / 455MB,21
2026-08-02T23:58:11Z,R2,seev-k0-rabbitmq-1,21.54%,106.9MiB,5.786GiB,1.81%,52.8kB / 46.7kB,39.5MB / 766kB,37
2026-08-02T23:58:11Z,R2,seev-k0-redis-1,2.54%,6.711MiB,5.786GiB,0.11%,45.4kB / 24.9kB,1.83MB / 4.1kB,6
2026-08-02T23:58:11Z,R2,seev-k0-vendor-service-1,0.00%,10.08MiB,5.786GiB,0.17%,28.7kB / 36.6kB,2.24MB / 0B,11
2026-08-02T23:58:19Z,R2,seev-k0-admin-bff-service-1,0.00%,12.79MiB,128MiB,9.99%,3.92kB / 2.12kB,918kB / 0B,10
2026-08-02T23:58:19Z,R2,seev-k0-assurance-service-1,0.00%,8.938MiB,128MiB,6.98%,20kB / 26kB,901kB / 0B,13
2026-08-02T23:58:19Z,R2,seev-k0-auth-service-1,0.00%,10.54MiB,5.786GiB,0.18%,64.2kB / 112kB,893kB / 0B,13
2026-08-02T23:58:19Z,R2,seev-k0-fraud-service-1,3.17%,11.72MiB,5.786GiB,0.20%,20.7kB / 16.5kB,2.28MB / 0B,13
2026-08-02T23:58:19Z,R2,seev-k0-gateway-service-1,0.00%,8.387MiB,5.786GiB,0.14%,43.2kB / 58.4kB,737kB / 0B,13
2026-08-02T23:58:19Z,R2,seev-k0-ledger-service-1,4.37%,10.91MiB,5.786GiB,0.18%,98.7kB / 160kB,1.2MB / 0B,13
2026-08-02T23:58:19Z,R2,seev-k0-payin-service-1,0.00%,11.69MiB,5.786GiB,0.20%,45.3kB / 51kB,938kB / 0B,13
2026-08-02T23:58:19Z,R2,seev-k0-payout-service-1,0.18%,11.78MiB,5.786GiB,0.20%,58.1kB / 112kB,332kB / 0B,13
2026-08-02T23:58:19Z,R2,seev-k0-postgres-1,4.41%,104.5MiB,5.786GiB,1.76%,588kB / 294kB,43.2MB / 455MB,21
2026-08-02T23:58:19Z,R2,seev-k0-rabbitmq-1,1.37%,107.1MiB,5.786GiB,1.81%,53.6kB / 47.5kB,39.5MB / 774kB,37
2026-08-02T23:58:19Z,R2,seev-k0-redis-1,0.53%,6.711MiB,5.786GiB,0.11%,45.4kB / 24.9kB,1.83MB / 4.1kB,6
2026-08-02T23:58:19Z,R2,seev-k0-vendor-service-1,0.18%,10.59MiB,5.786GiB,0.18%,29.1kB / 37.2kB,2.24MB / 0B,17
2026-08-02T23:58:25Z,R2,seev-k0-admin-bff-service-1,0.82%,12.81MiB,128MiB,10.01%,4.03kB / 2.23kB,918kB / 0B,10
2026-08-02T23:58:25Z,R2,seev-k0-assurance-service-1,0.00%,8.992MiB,128MiB,7.03%,20kB / 26kB,958kB / 0B,13
2026-08-02T23:58:25Z,R2,seev-k0-auth-service-1,32.08%,10.65MiB,5.786GiB,0.18%,65.9kB / 115kB,893kB / 0B,13
2026-08-02T23:58:26Z,R2,seev-k0-fraud-service-1,0.23%,11.72MiB,5.786GiB,0.20%,20.9kB / 16.8kB,2.28MB / 0B,13
2026-08-02T23:58:26Z,R2,seev-k0-gateway-service-1,0.00%,8.391MiB,5.786GiB,0.14%,43.5kB / 59kB,741kB / 0B,13
2026-08-02T23:58:26Z,R2,seev-k0-ledger-service-1,0.39%,10.91MiB,5.786GiB,0.18%,99.6kB / 162kB,1.2MB / 0B,13
2026-08-02T23:58:26Z,R2,seev-k0-payin-service-1,0.17%,11.71MiB,5.786GiB,0.20%,45.3kB / 51kB,938kB / 0B,13
2026-08-02T23:58:26Z,R2,seev-k0-payout-service-1,0.45%,11.78MiB,5.786GiB,0.20%,59.2kB / 115kB,332kB / 0B,13
